timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
523233974,523210230,4063242,129.09317,39.969997,99784.0,1.185599
523286574,523265462,4063242,129.74846,39.969997,99776.25,1.1855069
523402332,523378572,4063242,128.56734,39.98,99790.25,1.1856732
523623317,523602174,4063242,129.64276,39.98,99777.5,1.1855218
523844301,523825770,4063242,128.88441,39.989998,99786.5,1.1856287
524012614,523994134,4063242,129.91493,39.989998,99774.25,1.1854832
524244092,524220347,4063242,129.21999,40.0,99782.5,1.1855811
524412482,524388712,4063242,129.51593,40.0,99778.99,1.1855395
524633450,524612304,4063242,129.17772,40.02,99782.99,1.1855869
524801783,524780660,4063242,129.62163,40.03,99777.75,1.1855247
525022733,525004262,4063242,129.13545,40.02,99783.5,1.185593
525191107,525172617,4063242,128.63075,40.04,99789.5,1.1856643
525422619,525398854,4063242,129.34683,40.03,99781.0,1.1855633
525643586,525622454,4063242,129.9572,40.05,99773.75,1.1854773
525811943,525790799,4063242,129.05089,40.04,99784.5,1.1856049
526032879,526014402,4063242,129.6005,40.059998,99778.0,1.1855277
526201249,526182762,4063242,129.24113,40.059998,99782.25,1.1855782
526432759,526408988,4063242,128.71532,40.079998,99788.5,1.1856525
526601082,526577348,4063242,128.98747,40.07,99785.25,1.1856139
526822057,526800945,4063242,129.43138,40.079998,99780.0,1.1855514
527043015,527024544,4063242,128.22913,40.09,99794.25,1.1857207
527211387,527192896,4063242,128.84215,40.09,99787.0,1.1856346
527442889,527419125,4063242,129.05089,40.09,99784.5,1.1856049
527611223,527587485,4063242,129.45253,40.11,99779.75,1.1855484
527832201,527811082,4063242,129.4948,40.11,99779.25,1.1855425
528000561,527979447,4063242,129.09317,40.129997,99784.0,1.185599
528221543,528203044,4063242,128.79987,40.11,99787.5,1.1856406
528389893,528371394,4063242,128.56734,40.14,99790.25,1.1856732
528621369,528597625,4063242,128.73645,40.12,99788.24,1.1856494
528842369,528821220,4063242,129.89378,40.14,99774.5,1.1854861
529010695,528989574,4063242,129.20149,40.14,99782.74,1.1855841
529231655,529213173,4063242,129.74846,40.149998,99776.24,1.1855068
529400042,529381542,4063242,129.09317,40.149998,99784.0,1.185599
529631503,529607762,4063242,128.94785,40.17,99785.75,1.1856197
529799858,529776122,4063242,130.23201,40.16,99770.49,1.1854385
530020826,529999712,4063242,129.87529,40.17,99774.74,1.1854889
530241855,530223316,4063242,129.57936,40.17,99778.25,1.1855307
530410174,530391669,4063242,129.57936,40.17,99778.25,1.1855307
530641635,530617902,4063242,130.86353,40.18,99763.0,1.1853495
530810033,530786271,4063242,129.57936,40.18,99778.25,1.1855307
531030963,531009846,4063242,130.44339,40.17,99767.99,1.1854087
531199337,531178216,4063242,131.37083,40.18,99756.99,1.185278
531420318,531401808,4063242,130.08403,40.17,99772.25,1.1854594
531588647,531570174,4063242,130.99036,40.17,99761.5,1.1853316
531820134,531796395,4063242,131.01413,40.17,99761.24,1.1853286
532041108,532019991,4063242,130.80275,40.18,99763.74,1.1853583
532209502,532188354,4063242,131.0749,40.17,99760.5,1.1853198
532430456,532411943,4063242,130.58871,40.16,99766.25,1.1853881
532598777,532580306,4063242,130.77896,40.17,99763.99,1.1853613
532830281,532806533,4063242,131.9178,40.149998,99750.5,1.1852009
532998651,532974890,4063242,130.65477,40.149998,99765.5,1.1853791
533219615,533198491,4063242,132.00235,40.149998,99749.49,1.185189
533440596,533422089,4063242,130.5068,40.14,99767.25,1.1854
533608924,533590458,4063242,131.11719,40.149998,99760.0,1.1853138
533840427,533816672,4063242,131.15945,40.129997,99759.5,1.1853079
534008800,533985036,4063242,130.5068,40.129997,99767.25,1.1854
534229765,534208628,4063242,130.69441,40.11,99765.0,1.1853732
534398087,534376977,4063242,130.23201,40.1,99770.49,1.1854385
534619097,534600586,4063242,131.20174,40.09,99759.0,1.1853019
534787419,534768933,4063242,131.0749,40.07,99760.5,1.1853198
535018919,534995160,4063242,130.90579,40.05,99762.49,1.1853435
535239927,535218767,4063242,131.53995,40.04,99755.0,1.1852545
535408230,535387118,4063242,130.61249,40.04,99765.99,1.185385
535629183,535610716,4063242,130.44339,40.02,99768.0,1.1854088
535797571,535779070,4063242,131.05376,40.0,99760.74,1.1853226
536029078,536005306,4063242,131.92046,40.01,99750.49,1.1852008
536197389,536173647,4063242,131.96008,39.989998,99750.0,1.185195
536418387,536397255,4063242,131.66678,39.98,99753.5,1.1852366
536639324,536620851,4063242,131.41312,39.989998,99756.49,1.1852721
536807704,536789215,4063242,131.01149,39.98,99761.25,1.1853287
537039193,537015433,4063242,131.30743,39.96,99757.74,1.185287
537207540,537183796,4063242,130.94807,39.95,99762.0,1.1853377
537428496,537407389,4063242,130.73933,39.96,99764.5,1.1853673
537596852,537575739,4063242,130.46452,39.95,99767.75,1.185406
537817827,537799337,4063242,131.20174,39.94,99759.0,1.1853019
537986195,537967697,4063242,131.72755,39.94,99752.75,1.1852278
538217669,538193927,4063242,131.72755,39.94,99752.75,1.1852278
538438642,538417523,4063242,131.41312,39.94,99756.49,1.1852721
538606986,538585879,4063242,130.40111,39.94,99768.49,1.1854148
538827955,538809473,4063242,131.43427,39.93,99756.24,1.1852691
538996391,538977831,4063242,131.87552,39.92,99750.99,1.1852068
539227797,539204055,4063242,131.26515,39.91,99758.25,1.1852931
539396149,539372414,4063242,130.5068,39.91,99767.24,1.1853999
539617130,539596009,4063242,130.88466,39.89,99762.75,1.1853465
539838091,539819611,4063242,131.66678,39.89,99753.5,1.1852366
